term,times_used,keep (yes/no),example_original,example_parakeet,example_qwen
stopMethodTracing,2,,I'm having trouble getting sub-configurations to work with stopMethodTracing.,I'm having trouble getting subconfigurations to work with stop method tracing.,I'm having trouble getting subconfigurations to work with stop method tracing.
Stops,1,,I'm using Stops in my project.,I'm using stops in my project.,I'm using stops in my project.
store-backed,1,,I'm getting an error from store-backed.,I'm getting an error from Store back.,I'm getting an error from store back.
str_message,1,,The wasm32-unknown-unknown module uses str_message under the hood with flow_id`s for acceleration.,The Walsham thirty two unknown unknown module uses STR message under the hood with flow IDs for acceleration.,The wasm 32 unknown unknown module uses stir message under the hood with flow ids for acceleration.
Strategy,1,,"After configuring size_ with white-space, I also added Strategy.","After configuring size with white space, I also added strategy.","After configuring size with white space, I also added strategy."
StreamingSession,1,,The non-indexed integration with StreamingSession is seamless.,The non index integration with streaming session is seamless.,The non-indexed integration with streaming session is seamless.
Streams,1,,I'm using Streams and Enables together.,I'm using streams and enables together.,I'm using streams and enables together.
String&gt,2,,We replaced String&gt with Pivoting last week.,We replaced string a jeet with pivoting last week.,We replaced string a jet with pivoting last week.
string-based,1,,The string-based module uses Member under the hood with S-expressions for acceleration.,The string based module uses member under the hood with S expressions for acceleration.,The string-based module uses member under the hood with S expressions for acceleration.
string-like,1,,I'm getting an error from string-like.,I'm getting an error from String Lake.,I'm getting an error from string like.
string_literal,1,,We replaced string_literal with Tag last week.,We replaced string literal with tag last week.,We replaced string literal with tag last week.
StringConstraints,2,,We use StringConstraints for the frontend and LLVM-optimized for the backend.,We use string constraints for the front end and LL V M optimized for the back end.,We use string constraints for the frontend and LLVM optimized for the backend.
strip-bom,1,,The combination of strip-bom and PERF-004 works well.,A combination of strip ball and P E R F zero zero four works well.,A combination of strip bomb and PERF zero zero four works well.
struct_variant,1,,Make sure struct_variant is in your Cargo.toml.,Make sure struct variant is in your cargo. Humble.,Make sure struck variant is in your cargo. Pomo.
StructA,1,,I'm having trouble getting StructA to work with PERFETTO_BINARY_PATH.,I'm having trouble getting struct A to work with P E R F E T T O B I N R Y P A T H,I'm having trouble getting struct A to work with perfettobinarypath.
Structure,1,,We use Structure for the frontend and Command for the backend.,You use structure for the front end and command for the back end.,A U structure for the frontend and command for the backend.
Stuck,1,,I just upgraded Stuck to the latest version.,I just upgraded stuck to the latest version.,I just upgraded stuck to the latest version.
Study,2,,"The project depends on build-failure, Study, and --speaker.","The project depends on build failure, study and dash dash speaker.","The project depends on build failure, study, and dash dash speaker."
Styling,1,,The Styling library is really good.,The styling library is really good.,The styling library is really good.
Styx,1,,I'm using Styx and defaultSpec together.,I'm using sticks and default spec together.,I'm using sticks and defaults back together.
styx-mode,1,,I'm using styx-mode in my project.,I'm using Stix Mode in my project.,I'm using sticks mode in my project.
Styx-style,1,,"I set up Styx-style, CPU-affine, and do_not_scan in the pipeline.","I set up stick style, CPU or fine, and do not scan in the pipeline.",I set up stack style CPU offline and do not scan in the pipeline.
STYX_SCHEMAS_V1,1,,"We need frame-management for parsing, STYX_SCHEMAS_V1 for processing, and is_first for output.","We need frame management for parsing, S T Y X S C H E M, A S V one for processing, and as first for output.","We need frame manager for parsing, SDYXSCHEM, ASV1 for processing, and is first for output."
STYX_STAGING_TOKEN,1,,"After switching from sum_megacycles to STYX_STAGING_TOKEN, things improved.",After switching from some mega cycles to S T Y X S T A G I N G T O K E N things improved.,"After switching from Sun megacycles to STYXST, a GINGT or KEN, things improved."
StyxObject,1,,"We need Simple for parsing, Poisoning for processing, and StyxObject for output.","We need simple for parsing, poisoning for processing, and stex object for output.","We need simple for parsing, poisoning for processing, and stack's object for output."
sub-configurations,2,,I'm having trouble getting sub-configurations to work with stopMethodTracing.,I'm having trouble getting subconfigurations to work with stop method tracing.,I'm having trouble getting subconfigurations to work with stop method tracing.
sub-expressions,1,,I'm having trouble getting service-based to work with sub-expressions.,I'm having trouble getting service based to work with sub expressions.,I'm having trouble getting service base to work with subexpressions.
sub-menu,1,,"After switching from sub-menu to node-field-names, things improved.","After switching from sub menu to node field names, things improved.","After switching from sub menu to node field names, things improved."
sub-operations,1,,The combination of sub-operations and success-path works well.,The combination of sub operations and a success path works well.,The combination of sub operations and success path works well.
sub-route,1,,Can you add sub-route to the dependencies?,Can you add sub root to the dependencies?,Can you add subroot to the dependencies.
